date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:39	11939/11939	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a4b01-2ea3-5a2bbab2d2580%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/dashboard/knowledge.svg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/dashboard/knowledge.svg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:41	21028/21028	---M--	200	added ('OK')	image/jpeg	etag:%22b3a4ae8-5224-59cbffd112880%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/courses/img-1.jpg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/courses/img-1.jpg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:44	23175/23175	---M--	200	added ('OK')	image/jpeg	etag:%22b3a4af3-5a87-59cc003dca900%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/courses/img-2.jpg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/courses/img-2.jpg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:46	11544/11544	---M--	200	added ('OK')	image/jpeg	etag:%22b3a4afc-2d18-5a2cbf9872e00%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/courses/news-1.jpg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/courses/news-1.jpg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:48	33767/33767	---M--	200	added ('OK')	image/jpeg	etag:%22b3a4af5-83e7-59cbffe425580%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/courses/img-3.jpg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/courses/img-3.jpg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:48	19895/19895	---M-Z	200	added ('OK')	text/html	etag:%22b3a4b7d-4db7-5abe7db624980-gzip%22	http://gambolthemes.net/html-items/cursus_demo_f12/terms_of_use.html	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/terms_of_use.html	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:50	42191/42191	---M--	200	added ('OK')	image/jpeg	etag:%22b3a4afd-a4cf-5a2cc425d6b80%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/courses/news-2.jpg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/courses/news-2.jpg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:50	1572/1572	---M--	200	added ('OK')	image/svg+xml	etag:%22b3a4b25-624-5a3af61627500%22	http://gambolthemes.net/html-items/cursus_demo_f12/images/logo1.svg	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/images/logo1.svg	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:56:51	956/956	---M--	200	added ('OK')	application/javascript	etag:%22b3a4b60-3bc-5377dd6753b00%22	http://gambolthemes.net/html-items/cursus_demo_f12/js/vertical-responsive-menu.min.js	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/js/vertical-responsive-menu.min.js	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
16:57:04	86926/86926	---M--	200	added ('OK')	application/javascript	etag:%22b3a4b59-1538e-59c9e99674100%22	http://gambolthemes.net/html-items/cursus_demo_f12/js/jquery-3.3.1.min.js	Downloads/web1/gambolthemes.net/html-items/cursus_demo_f12/js/jquery-3.3.1.min.js	(from http://gambolthemes.net/html-items/cursus_demo_f12/instructor_dashboard.html)
